Programme;SIREN;NIC;Dénomination;Montant;Objet 2020;Convention 2020;Date de création de l'établissement;Etat administratif;Siège;Répertoire national des associations;Catégorie juridique;COG : code;COG : libellé;Activité;Nomenclature de l'activité;Economie sociale et solidaire
147;378450167;28;ASS DES HABITANTS DU QUARTIER HAUT;         51 900,00;1541- Education à la citoyenneté, civisme 1562- Activités de loisirs 1121- Agir contre l’échec scolaire 1511- Ville vie vacances;;22/12/1992;Non déterminé;Non;W491001517;9220;49007;Angers;94.99Z;NAFRev2;O
147;378469878;128;MISSION LOCALE DE LYON;          6 100,00;Accueil des jeunes 16-25 ans : emploi, santé,  formation, accompagnement social;;18/12/2016;Non déterminé;Non;W691066211;9220;69387;Lyon 7e Arrondissement;84.13Z;NAFRev2;N
147;378480198;19;ENTENTE FAMILY STADE REIMS ATHLETIS;          7 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;12/04/1990;Non déterminé;Non;W513000211;9220;51454;Reims;93.12Z;NAFRev2;O
147;378489827;48;CONFLUENCES;          8 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;29/08/2014;Non déterminé;Non;W822001017;9220;82121;Montauban;94.99Z;NAFRev2;O
147;378529804;56;LA LUNE ROUSSE;         15 500,00;1411- Pratiques artistiques et culturelles;;01/10/2015;Non déterminé;Non;W442009390;9220;44162;Saint-Herblain;90.01Z;NAFRev2;O
147;378530182;21;MAISON DES JEUNES DE LA CULTURE;          1 500,00;Animation sociale des quartiers;;19/05/2004;Non déterminé;Non;;9220;30334;Uzès;94.99Z;NAFRev2;O
147;378561229;30;COMITE DEPARTEMENTAL OLYMPIQUE SPOR;          5 000,00;Animation sociale des quartiers;;01/06/2011;Non déterminé;Non;W471001094;9220;47001;Agen;94.99Z;NAFRev2;O
147;378566756;29;CINEMAS D AUJOURD HUI;          3 500,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;26/06/2014;Non déterminé;Non;W901000661;9220;90010;Belfort;59.14Z;NAFRev2;O
147;378572432;29;RAISON DE PLUS;         27 033,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/01/1991;Non déterminé;Non;W301003474;9220;30132;La Grand-Combe;88.99B;NAFRev2;O
147;378600308;50;REGIE DE QUARTIER ARMSTRONG;          5 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;21/03/2017;Non déterminé;Non;W691080267;9220;69259;Vénissieux;88.99B;NAFRev2;O
147;378611784;42;LA COMPAGNIE DES AUTRES;          8 000,00;Animation sociale des quartiers;;01/08/2009;Non déterminé;Non;W843000318;9220;84031;Carpentras;90.01Z;NAFRev2;O
147;378618383;46;MIGRATIONS CULTURELLES AQUITAINE;          4 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;13/09/2016;Non déterminé;Non;W332004753;9220;33063;Bordeaux;90.01Z;NAFRev2;O
147;378618383;46;MIGRATIONS CULTURELLES AQUITAINE;          1 500,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;13/09/2016;Non déterminé;Non;W332004753;9220;33063;Bordeaux;90.01Z;NAFRev2;O
147;378631576;22;MISSION LOCALE INTERCOM BORDS DE MA;         65 000,00;Accueil des jeunes 16-25 ans : emploi, santé,  formation, accompagnement social;;01/01/2005;Non déterminé;Non;;9220;94058;Le Perreux-sur-Marne;84.13Z;NAFRev2;N
147;378637128;26;FOOT BALL CLUB OLYMPIQUE;          1 000,00;Animation sociale des quartiers;;15/01/2002;Non déterminé;Non;W423002571;9220;42095;Firminy;93.12Z;NAFRev2;O
147;378644843;39;SEMAINE DES QUATRE JEUDIS;         25 000,00;Animation sociale des quartiers;;30/06/2004;Non déterminé;Non;W273003196;9220;27375;Louviers;90.04Z;NAFRev2;O
147;378693360;26;THEATRE DU SAGITTAIRE;          8 000,00;Animation sociale des quartiers;;05/03/1999;Non déterminé;Non;W802005478;9220;80021;Amiens;90.01Z;NAFRev2;O
147;378729800;29;LES SPECTACLES SANS GRAVITE;         10 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;22/11/1995;Non déterminé;Non;W595015514;9220;59350;Lille;90.02Z;NAFRev2;O
147;378745335;26;CENTRE REGIONAL INFORMATION JEUNESS;         25 000,00;Animation sociale des quartiers;;07/12/2004;Non déterminé;Non;W9R1000461;9220;97411;Saint-Denis;94.99Z;NAFRev2;O
147;378749576;21;CENTRE PREVENTION FORMATION ET INSE;         11 500,00;Animation sociale des quartiers;;14/10/2013;Non déterminé;Non;W913001675;9220;91570;Saint-Michel-sur-Orge;85.59B;NAFRev2;O
147;378755060;43;FEDERATION NATIONALE DES CENTRES DE;         90 000,00;Animation sociale des quartiers;;09/10/2012;Non déterminé;Non;W751006831;9220;93048;Montreuil;88.99B;NAFRev2;O
147;378768584;21;BANQUE ALIMENTAIRE CHAMPAGNE SUD ME;          4 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;27/10/1995;Non déterminé;Non;W523000121;9220;52448;Saint-Dizier;88.99B;NAFRev2;O
147;378770069;37;MULTI SERVICE SUD VENDEE;          5 000,00;2111- Accueil, information, accompagnement de 1er niveau;;09/04/2001;Non déterminé;Non;W851000878;9222;85092;Fontenay-le-Comte;78.30Z;NAFRev2;O
147;378779474;14;LOS ESTUFLAIRES GROUPE ANIMATION CA;          6 000,00;Animation sociale des quartiers;;17/10/1980;Non déterminé;Non;W822004272;9220;82038;Caylus;60.10Z;NAFRev2;O
